title,type,genres,releaseyear,averagerating,votes
The Last Trip to the Seaside,movie,"{Drama, Romance, Thriller}",2019,6.9,1571
"Standing Up, Falling Down",movie,{Comedy},2019,5.1,223
Dying to Be Perfect: The Ellen Hart Pena Story,movie,"{Comedy, Drama}",2019,6.9,404
The Immortal,movie,"{Adventure, Comedy, Horror}",2019,6,1899
Legacy of Lies,movie,"{Drama, Thriller}",2019,6.7,3576
The Little Things,movie,"{Comedy, Romance, Sport}",2019,5.4,330
Lego DC Batman: Family Matters,movie,"{Biography, Drama, History}",2021,7.4,93193
France,movie,{Drama},2020,6.4,1013
Home Videos,movie,{Drama},2019,6.2,267
Horizon Line,movie,"{Drama, Sci-Fi}",2021,6.6,23994
American Traitor: The Trial of Axis Sally,movie,{Documentary},2019,6.8,714
Straight Up,movie,"{Animation, Family, History}",2019,7,369
Liberty: Mother of Exiles,movie,{Drama},1998,6.1,246
Lost in the Night,movie,"{Action, Animation, Comedy}",2022,6.9,2459
To Catch a Killer,movie,"{Drama, Romance}",2020,5.9,1021
Mo,movie,"{Animation, Drama, Fantasy}",2022,7,293
Let There Be Light,movie,"{Adventure, Animation, Comedy}",2021,6.7,816
L.A. Johns,movie,"{Animation, Comedy, Musical}",2023,7.1,836
Sonic the Hedgehog 2,movie,"{Adventure, Animation, Family}",2020,5.4,98
Kalev,movie,"{Action, Sci-Fi, Thriller}",2020,2.9,10695
The Bad Guys,movie,{Documentary},2019,7.1,6767
Petite Maman,movie,"{Crime, Documentary}",2018,6,363
The Electrical Life of Louis Wain,movie,"{Comedy, Crime, Drama}",2019,6.3,498
Loli paraditska,movie,"{Action, Adventure, Comedy}",2023,5.9,131219
Sun,movie,"{Comedy, Drama, Fantasy}",2019,7.4,20261
Looks That Kill,movie,{Documentary},2019,6.9,860
Quero-te Tanto!,movie,"{Drama, Short}",2019,6.4,84
Yusuf Hawkins: Storm Over Brooklyn,movie,"{Comedy, Drama}",2019,6.6,2643
Undercover Wedding Crashers,movie,{Drama},1996,5.5,259
Sermon on the Mount,movie,"{Crime, Drama, Thriller}",2019,6.8,7664
After We Collided,movie,"{Action, Thriller}",2020,5.1,4454
Insidious: The Red Door,movie,"{Crime, Drama, Mystery}",2021,6.3,131482
Lupin III: The First,movie,"{Action, Animation, Comedy}",2019,6.1,1512
The Year of the Death of Ricardo Reis,movie,"{Comedy, Drama}",2021,5.9,4991
King Richard,movie,{Documentary},2019,7.4,185
Elvis,movie,"{Action, Adventure, Drama}",2020,4.8,11911
The Secrets We Keep,movie,"{Drama, History, War}",2021,5.7,3405
Meg 2: The Trench,movie,"{Comedy, Romance}",2019,6.9,3395
Verdict,movie,{Documentary},2019,6.6,184
Justice League Dark: Apokolips War,movie,"{Drama, Thriller}",2023,6.1,882
Batman: Death in the Family,movie,"{Action, Crime, Drama}",2023,6.6,44487
Superman: Man of Tomorrow,movie,{Drama},2019,5.8,1037
Collective,movie,{Drama},2019,7.2,515
Tony,movie,{Drama},1997,4.9,344
Very Ralph,movie,"{Action, Adventure, Comedy}",2022,6.5,92912
Bita e a Natureza,movie,{Drama},2022,7.3,807
Coma,movie,"{Adventure, Animation, Comedy}",2022,6.8,63530
The Diary of Diana B,movie,"{Drama, Fantasy}",2021,7.4,18660
Tolken,movie,"{Biography, Drama, History}",2021,6.8,21365
Old-Timers,movie,{Comedy},2019,6.4,157
Schoolgirls,movie,{Drama},2022,6,425
Dont Worry Darling,movie,"{Comedy, Drama, Romance}",2020,6.3,5621
Malignant,movie,"{Comedy, Romance}",2019,4.5,134
Unmasking Jihadi John: Anatomy of a Terrorist,movie,"{Crime, Documentary}",2020,7.3,239
Alternate Endings: Six New Ways to Die in America,movie,{Comedy},2021,5.5,1061
The Legend of Hei,movie,{Documentary},2019,6.8,123
Minte-mã frumos în Centrul Vechi,movie,"{Drama, Romance}",2020,5.1,40101
My Life as a Comedian,movie,"{Horror, Mystery, Thriller}",2023,5.5,55051
The Last Vermeer,movie,"{Action, Adventure, Animation}",2019,6.9,3901
Women Is Losers,movie,{Drama},2020,6,277
The Innocence,movie,"{Biography, Drama, Sport}",2021,7.5,142476
Let Them All Talk,movie,"{Biography, Drama, Music}",2022,7.3,243888
The Wedding Unplanner,movie,"{Drama, Thriller}",2020,5.9,7573
National Street,movie,{},2014,,
Torn Apart: Separated at the Border,movie,"{Action, Adventure, Horror}",2023,5,87531
In the Shadow of the Towers: Stuyvesant High on 9/11,movie,"{Crime, Drama}",2019,6.8,634
"Karel, já a ty",movie,"{Action, Adventure, Animation}",2020,7.7,27689
Dog,movie,"{Action, Animation, Crime}",2020,5.6,4372
The Assistant,movie,"{Action, Animation, Sci-Fi}",2020,6.4,8996
The Urban Crisis and the New Militants: Module 6 - Black Moderates and Black Militants,movie,"{Action, Animation, Sci-Fi}",2020,6.4,17282
The Contractor,movie,"{Crime, Documentary}",2019,8.1,13672
Queenpins,movie,"{Biography, Documentary}",2019,4.4,166
The Vault,movie,{Documentary},2019,6.9,839
What Happened on September 11,movie,{},2017,,
If I Were Rich Man,movie,"{Fantasy, Short}",2007,7.7,16
Its Beginning to Look a Lot Like Christmas,movie,"{Biography, Drama, History}",2019,7.4,1574
Marita,movie,{},2002,,
Tambour battant,movie,"{Comedy, Crime, Drama}",2019,6.7,249
Knock at the Cabin,movie,{Drama},2020,6.4,2785
House Party,movie,"{Drama, Mystery, Thriller}",2022,6.3,156797
Buzz,movie,"{Crime, Horror, Mystery}",2021,6.2,113851
Doza shtastie,movie,{Documentary},2019,7,491
Cmon Cmon,movie,{Documentary},2019,7.3,309
Unpregnant,movie,"{Action, Adventure, Animation}",2019,7.3,2466
Class Action Park,movie,"{Comedy, Romance}",2016,5.4,160
No Responders Left Behind,movie,"{Biography, Drama}",2019,6.4,1312
Madame Web,movie,"{Drama, War}",2019,6.7,6023
The Marksman,movie,{Drama},2021,6,426
The Last Voyage of the Demeter,movie,{Drama},2019,6.5,752
Dating Amber,movie,"{Comedy, Drama}",2020,6.1,13331
O Amor Dá Voltas,movie,"{Comedy, Romance}",2020,5.7,2080
The Toll,movie,"{Comedy, Drama}",2019,5.7,339
Am I OK?,movie,{Documentary},2019,5.9,55
Saudi Womens Driving School,movie,"{Documentary, Drama, History}",2019,6.5,454
3Grapes,movie,"{Comedy, Drama}",2019,5.7,117
Asterix & Obelix: The Middle Kingdom,movie,"{Comedy, Drama}",2022,6.5,48367
The Mentor,movie,{Drama},2019,6.4,27056
Twist,movie,{Documentary},1969,,
Dampyr,movie,"{Action, Drama, Thriller}",2022,5.8,30970
The Mauritanian,movie,"{Comedy, Crime}",2021,6.4,26031
Autobahn,movie,"{Action, Thriller}",2021,6.4,32749
Lindsey Vonn: The Final Season,movie,"{Documentary, Drama, History}",2019,5.8,430
Plane,movie,{Comedy},2019,5,1600
The Machine,movie,"{Comedy, Romance}",2019,6.1,1201
No Sudden Move,movie,{Drama},2017,6.2,476
Renfield,movie,"{Comedy, Music}",2019,6.3,136
The Invisible,movie,"{Horror, Mystery, Thriller}",2023,6.1,126396
Wildlings,movie,{Comedy},2023,4.4,4563
One for All,movie,{Documentary},2019,5.4,923
Pixie,movie,{Drama},2019,7.1,1501
Oppenheimer,movie,{Drama},2021,7.4,40169
Dumb Money,movie,"{Comedy, Drama}",2020,6.5,10197
The Sweet East,movie,"{Crime, Documentary}",2020,7,8301
IT - A COISA - VERSÃO BRASILEIRA,movie,"{Documentary, History}",2021,6.8,52
Gigi & Nate,movie,"{Action, Adventure, Sci-Fi}",2024,4,91878
Singing in My Sleep,movie,"{Action, Drama, Thriller}",2021,5.7,44913
Aftersun,movie,"{Fantasy, Horror, Thriller}",2023,6.1,58095
Little Red Riding Hood,movie,"{Comedy, Drama, Romance}",2020,7,8079
Foreigner,movie,"{Comedy, Romance}",2019,5.4,100
Spree,movie,"{Horror, Thriller}",2020,5.3,3270
The Dissident,movie,"{Family, Short}",2016,,
A Bookshop in Paris,movie,"{Comedy, Drama, Romance}",2022,6.1,8819
I Run to You,movie,{Documentary},2019,6.6,245
"Siempre, Luis",movie,{Comedy},2020,5.2,192
Berosált a rezesbanda,movie,"{Adventure, Comedy, Family}",2023,5.1,10900
The Day We Died,movie,"{Drama, Short, Thriller}",2019,7,64
Post Mortem,movie,"{Action, Drama, Thriller}",2021,4.2,3146
Dating & New York,movie,"{Fantasy, Horror}",2022,5.4,2521
Body Brokers,movie,"{Biography, Crime, Drama}",2021,7.5,64890
The Heist Before Christmas,movie,{Documentary},2019,7.9,13
The Wishmas Tree,movie,"{Documentary, Sport}",2019,7.1,195
Captives,movie,"{Horror, Mystery, Thriller}",2022,6.3,167379
Margrete: Queen of the North,movie,"{Action, Adventure, Thriller}",2023,6.5,85480
The Owners,movie,"{Action, Comedy}",2023,5.7,16287
Rams,movie,"{Crime, Drama, Mystery}",2021,6.4,42159
The Worst Person in the World,movie,"{Action, Comedy, Fantasy}",2023,6.4,103050
Ali & Ava,movie,"{Comedy, Drama}",2020,6.4,546
Until the Government Do Us Apart,movie,"{Action, Comedy, Romance}",2019,5.5,944
Figurant,movie,{Drama},2020,6.3,781
The First Time 3,movie,"{Comedy, Crime, Thriller}",2020,5.9,5675
Eileen,movie,"{Biography, Drama, History}",2023,8.3,813771
Silent Night,movie,"{Biography, Comedy, Drama}",2023,6.9,51799
Kill It and Leave This Town,movie,{Drama},2023,6.5,2921
Gunda,movie,"{Horror, Comedy}",2017,,
Contra,movie,"{Drama, Family}",2022,6.7,2075
Mortal Kombat Legends: Scorpions Revenge,movie,"{Drama, Music}",2024,,
Exclusion Zone,movie,{Drama},2022,7.6,103989
Infinity Pool,movie,"{Drama, Documentary}",2009,,
Switched Shifts,movie,"{Adventure, Drama, Short}",2018,5.9,84
Official Competition,movie,"{Comedy, Crime, Horror}",2020,5.9,17654
The Hive,movie,"{Crime, Documentary, Thriller}",2020,7.8,30686
Natural Light,movie,"{Comedy, Drama, Romance}",2021,5.6,820
Janet Planet,movie,"{Comedy, Romance}",2022,6.4,2010
Same Kind of Different as Me,movie,"{Documentary, Drama}",2020,6.6,154
Fátima,movie,{Family},2013,5.2,70
No One,movie,"{Crime, Drama, History}",2020,5.6,842
Ladrões de Tuta e Meia,movie,"{Horror, Mystery, Thriller}",2020,5.5,3652
Shameless: The Art of Disability,movie,{},2022,,
The Banshees of Inisherin,movie,{Comedy},2021,4.8,892
Mlsné medvedí príbehy,movie,"{Drama, Thriller}",2021,6.2,3942
Pils Adventures,movie,"{Comedy, Drama}",2023,5.2,642
Astral,movie,"{Animation, Family, Fantasy}",2019,4.8,323
Sandals,movie,"{Drama, Mystery, Thriller}",2019,7,892
El inconveniente,movie,"{Biography, Drama, History}",2021,6.6,3224
Women of Troy,movie,"{Comedy, Crime, Horror}",2020,5,9935
We Bare Bears: The Movie,movie,"{Comedy, Drama}",2020,6.5,3904
We Are the Dream: The Kids of the Oakland MLK Oratorical Fest,movie,"{Comedy, Drama, Romance}",2021,7.7,104735
"Blind Willow, Sleeping Woman",movie,"{Drama, Romance}",2021,6.7,3229
The Waiter,movie,{},2018,,
Zillion,movie,"{Action, Drama, Short}",2019,6.8,73
Over the Sky,movie,"{Drama, Romance}",2019,,
We Broke Up,movie,"{Drama, Mystery, Romance}",2023,5.9,15924
After Truth: Disinformation and the Cost of Fake News,movie,"{Comedy, Drama, Horror}",2021,5.8,20742
Next Door,movie,"{Animation, Drama, Horror}",2020,6.6,1180
My Heart Goes Boom!,movie,{Documentary},2020,7.1,3020
Burning Days,movie,{Comedy},2020,6.8,3422
Scooby-Doo! The Sword and the Scoob,movie,"{Action, Adventure, Animation}",2020,7.4,19946
Baby God,movie,{Thriller},2020,5.4,136
"Crazy, Not Insane",movie,"{Crime, Horror, Mystery}",2023,6,62904
Kill Chain: The Cyber War on Americas Elections,movie,{Drama},2020,,
LEGO DC: Shazam! Magic and Monsters,movie,"{Comedy, Drama}",2021,7,15618
Transhood,movie,{Drama},2021,5.9,198
Simple as Water,movie,"{Drama, History, War}",2021,5.9,1335
Possession,movie,{Drama},2023,6.1,1888
65,movie,"{Biography, Drama}",2017,6.6,8634
The Good Traitor,movie,{Drama},2017,6.8,390
On the Outside,movie,"{Drama, Mystery, Romance}",2017,5.7,343
Infamous,movie,{Comedy},2019,5,136
Bittu,movie,{Documentary},2006,7.1,14
Deathstroke: Knights & Dragons - The Movie,movie,{Drama},2018,6,144
Predators Motion Comics: Moment of Extraction,movie,"{Action, Adventure, Drama}",2005,,
Hyperstition,movie,"{Comedy, Drama}",2022,7.7,266540
Adam,movie,"{Animation, Comedy, Family}",2021,7,6
The Academy of Magic,movie,"{Adventure, Animation, Family}",2021,6.1,1329
Balladyna,movie,{Fantasy},2010,7.1,11
Fosters Home for Imaginary Friends: Destination Imagination,movie,"{Adventure, Animation, Family}",2019,7.2,120
Stockton on My Mind,movie,{Drama},2020,6.6,923
Vanille,movie,{Documentary},2020,7.2,253
¡Come!,movie,"{Adventure, Animation, Comedy}",2020,6.7,2648
Run Rabbit Run,movie,"{Documentary, History}",2020,7.1,79
The American,movie,"{Action, Adventure}",2000,6.2,18
"Argentina, 1985",movie,"{Animation, Drama, Sci-Fi}",2022,7.1,1018
27,movie,{Comedy},2021,5.5,469
No Dogs or Italians Allowed,movie,"{Biography, Crime, Drama}",2022,7.3,3657
Between Pain and Amen,movie,"{Animation, Drama, Fantasy}",2020,5.4,492
Spencer,movie,"{Comedy, Drama}",2021,5.2,1498
The Woodcutter Story,movie,{Documentary},2020,7,1931
Abortion: Desperate Choices,movie,"{Comedy, Drama}",2021,6.8,4129
The Year of Fury,movie,"{Comedy, Musical, Romance}",2020,5.7,1215
A Nice Girl Like You,movie,"{Drama, Thriller}",2022,7.5,13027
Jesus Revolution,movie,"{Action, Adventure, Animation}",2021,6.1,1674
Shadow,movie,"{Crime, Documentary}",2020,5.9,867
"Happy Halloween, Scooby-Doo!",movie,"{Biography, Crime, Documentary}",2020,6.9,2649
Ben 10 vs. the Universe: The Movie,movie,{Documentary},2020,7.4,773
The Urban Crisis and the New Militants: Module 1 - The Right to Dissent: A Press Conference,movie,"{Action, Adventure, Animation}",2020,6.3,1283
The Urban Crisis and the New Militants: Module 2 - Social Confrontation: The Battle of Michigan Ave.,movie,{Documentary},2020,5.7,1534
The Urban Crisis and the New Militants: Module 3 - Law and Order vs. Dissent,movie,{Documentary},2021,6.9,284
Cats & Dogs 3: Paws Unite,movie,{Horror},2012,5.7,37
Známi neznámi,movie,"{Action, Adventure, Drama}",2023,5.4,93750
Two Ships,movie,"{Drama, Short}",2019,8.4,11
The Tender Bar,movie,"{Biography, Drama, War}",2020,6.3,1622
Vicious Fun,movie,"{Crime, Documentary}",2011,6,10
"Quo Vadis, Aida?",movie,"{Crime, Drama, Romance}",2020,4.3,3540
Listen,movie,"{Drama, Short}",2020,6.7,239
O Som Que Desce na Terra,movie,"{Action, Adventure, Animation}",2020,6.3,4315
Robins Wish,movie,{Short},2010,5.5,105
Muy Gay Too Mexicano,movie,{Documentary},2015,6.6,15
Batman: Soul of the Dragon,movie,"{Biography, Drama}",2020,6.5,1506
Blade of the 47 Ronin,movie,"{Animation, Fantasy}",2020,3.2,2485
Lucie,movie,{Drama},2020,,
Love Songs,movie,"{Adventure, Animation, Comedy}",2008,7.5,704
Sightless,movie,{Documentary},2020,6.6,188
The Shift,movie,"{Adventure, Animation, Comedy}",2020,7.1,62
Darkling,movie,"{Drama, Short}",2020,6.3,18
Happy Together,movie,{Drama},2018,,
An Optical Illusion,movie,"{Drama, Horror, Mystery}",2023,5,12273
Rosa,movie,"{Biography, Drama}",2023,7.1,6265
"Batman: The Long Halloween, Part Two",movie,"{Biography, Crime, Drama}",2022,7.6,32632
Bullhorn Lullaby,movie,"{Animation, Romance, Short}",2023,6.8,889
Copshop,movie,"{Animation, Drama, Family}",2022,7.3,2096
Operation Fortune: Ruse de Guerre,movie,"{Drama, History}",2019,7.3,720
Simone: Woman of the Century,movie,{},2019,,
Please Hold,movie,"{Biography, Drama}",2021,6.6,78238
The Revenge of the Shiny Shrimps,movie,"{Comedy, Drama}",2022,5.6,944
The Barcelona Vampiress,movie,{Documentary},1992,6.9,42
Wandering Heart,movie,{Thriller},2020,6.1,473
Master Moley,movie,"{Comedy, Romance}",2020,5.2,7926
My Policeman,movie,"{Biography, Drama, History}",2023,7.1,14859
After We Fell,movie,{Drama},2021,6.1,232
Father of the Bride,movie,"{Adventure, Animation, Comedy}",2020,6.2,2205
Wild Card: The Downfall of a Radio Loudmouth,movie,"{Action, Adventure, Animation}",2020,5.3,1014
Asteroid City,movie,{Documentary},1968,,
One Fine Morning,movie,{Documentary},1968,,
One Way,movie,{Documentary},1968,,
Mia Misses Her Revenge,movie,"{Action, Comedy, Family}",2020,3.8,1256
537 Votes,movie,"{Comedy, Drama}",2021,6.4,311
Cry Macho,movie,"{Drama, Romance}",2021,5.6,108
The Beta Test,movie,"{Biography, Drama}",2021,6.7,34971
Paper Spiders,movie,"{Comedy, Horror}",2020,6.5,8125
Wonderfully Beautiful,movie,"{Drama, History, War}",2020,8,39475
Toys of Terror,movie,{Drama},2020,7,2128
Family Fox on Expedition,movie,{Drama},2021,6.5,80
Dont Try to Understand: A Year in the Life of Earl DMX Simmons,movie,"{Biography, Documentary}",2020,7.3,2317
Burning Ojai: Our Fire Story,movie,"{Comedy, Short}",2020,7.2,67
The Monster at the End of This Story,movie,"{Action, Adventure, Animation}",2021,6.1,7601
You Keep the Kids,movie,"{Action, Drama, Fantasy}",2022,4.7,1988
The Popes Exorcist,movie,"{Comedy, Drama}",2011,,
Love Again,movie,{Drama},2013,6.4,6
Calladita,movie,"{Drama, Mystery, Thriller}",2020,5.5,10664
Hunter Hunter,movie,"{Drama, Thriller}",2020,5.7,377
"Área chica, infierno grande",movie,"{Drama, Horror}",2022,6.7,1064
Living,movie,{Comedy},1997,7.1,18
Erlauntza,movie,"{Comedy, Drama}",2020,4.5,498
"Camera Café, la película",movie,{},2020,,
Manifest West,movie,"{Action, Animation, Crime}",2021,7.2,17591
"Im Not Telling You Anything, Just Sayin",movie,{Comedy},2021,6.1,645
Carmen,movie,"{Action, Thriller}",2021,6.2,40672
Hero Mode,movie,"{Action, Comedy, Thriller}",2023,6.3,95284
The Barbarians,movie,"{Biography, Drama, History}",2022,6.8,1559
Felix and the Hidden Treasure,movie,"{Comedy, Drama, Sci-Fi}",2020,7.2,2203
A La Calle,movie,{Comedy},2022,6.3,498
The Wreck,movie,"{Drama, History, Horror}",2020,5.8,590
Linoleum,movie,{Drama},2021,6.5,694
Alabama Snake,movie,"{Animation, Short}",2019,5.4,131
See How They Run,movie,"{Drama, Romance}",2022,6.5,23519
Parallel Mothers,movie,"{Drama, Romance}",2021,4.8,21577
Shadowplay,movie,"{Comedy, Drama, Romance}",2022,5.9,13698
Missing,movie,"{Documentary, Sport}",2020,6.2,276
As Far as I Know,movie,"{Comedy, Drama, Romance}",2023,6.5,123680
9 povesti de dragoste si ura in izolare,movie,"{Drama, Romance}",2022,7,7699
Jezabel,movie,"{Action, Thriller}",2022,4.1,1957
Belli ciao,movie,{Drama},2020,5.6,351
At Last,movie,{Documentary},2020,7.2,922
Llanto Maldito,movie,{Drama},2021,5.7,34327
In the Same Breath,movie,"{Comedy, Drama, Mystery}",2021,6.1,6670
Rebel Hearts,movie,{Drama},2020,6.6,1897
Hive,movie,"{Comedy, Drama, Romance}",2022,7,2907
When We Were Bullies,movie,{Horror},2020,3.5,1236
Women Talking,movie,"{Adventure, Family}",2020,6,165
Titanic: Into the Heart of the Wreck,movie,"{Documentary, Music}",2021,6.5,581
Streamline,movie,{Documentary},2020,6.3,108
Under the Grapefruit Tree: The CC Sabathia Story,movie,"{Adventure, Animation, Family}",2020,7.3,69
Covid Diaries NYC,movie,{Comedy},2021,6,1405
First Christmas,movie,"{Horror, Thriller}",2023,6.1,90464
A Christmas Tale,movie,"{Comedy, Drama, Romance}",2023,5.9,15411
Men,movie,"{Drama, Short}",2020,6.2,130
Souls Redemption: a Pocket Guide,movie,"{Drama, Horror, Mystery}",2020,6.4,13814
Martin and the Magical Forest,movie,{Comedy},2020,,
Nocebo,movie,{Drama},2022,7.2,35033
Delta,movie,"{Horror, Mystery, Thriller}",2022,6.5,196472
EO,movie,{Comedy},2020,6.2,78
Sulle nuvole,movie,{Comedy},2022,4.7,881
Promises,movie,"{Drama, Thriller}",2022,5,775
Ravine,movie,"{Comedy, Drama, Short}",2020,6.8,36
Wonka,movie,"{Drama, Musical}",2022,5.7,1288
Oracle,movie,"{Adventure, Comedy, Family}",2021,4.5,1406
The Almond and the Seahorse,movie,{Thriller},2023,5.8,56
Fake Famous,movie,"{Adventure, Animation, Family}",2021,5.4,417
Sick of Myself,movie,{Documentary},2020,6.3,103
Nobody Has to Know,movie,{Drama},2019,4.9,93
Revolution Rent,movie,"{Drama, Sci-Fi}",2022,6.5,3771
Simmer,movie,"{Crime, Documentary}",2020,5.6,789
Bad Luck Banging or Loony Porn,movie,"{Comedy, Crime, Mystery}",2022,6.5,67175
There Is No I in Threesome,movie,{Drama},2021,7.1,37259
The Eternal Daughter,movie,{Thriller},2022,5.9,106
Expiration Date,movie,"{Drama, Mystery, Thriller}",2023,7.1,63873
Zack Snyders Justice League,movie,{Drama},2020,7,498
Cube,movie,{Drama},2020,5.2,90
School of Magical Animals,movie,"{Crime, Thriller}",2022,5.8,525
Happening,movie,{Comedy},2022,5,569
Czarny mlyn,movie,"{Drama, Short}",2020,6.8,87
The Fallout,movie,"{Drama, Horror}",2021,4.3,458
"Introducing, Selma Blair",movie,{Documentary},2021,7.6,1889
Im Your Man,movie,{Documentary},2021,6.9,166
What Do We See When We Look at the Sky?,movie,{Drama},2021,7.1,4113
Forest: I See You Everywhere,movie,"{Documentary, Short}",2021,5.4,1312
The Seed,movie,{Drama},2022,6.9,44185
Yuni,movie,{Documentary},2020,7.4,35
Offseason,movie,"{Drama, Sport}",2021,5.8,589
Con quién viajas,movie,{Documentary},2020,7.2,271
Martyrs Lane,movie,{Documentary},2021,4.3,210
Only for Tereza,movie,{Drama},2020,5.9,143
Me Tira da Mira,movie,"{Comedy, Drama, Family}",2021,6.3,1731
The Outfit,movie,"{Drama, Fantasy, Horror}",2022,6,70506
Maggie Moore(s),movie,{Drama},2018,6.7,68
Persona: The Dark Truth Behind Personality Tests,movie,"{Adventure, Family, Fantasy}",2021,5.1,44
The Last Cruise,movie,"{Horror, Thriller}",2022,5.8,7855
Kimi,movie,"{Crime, Drama, Thriller}",2022,5.5,347
¡A todo tren! Destino Asturias,movie,{Drama},2022,6.7,15363
¡Viva Maestro!,movie,{Romance},2022,5.4,75
Gringa,movie,{Drama},2021,6.4,1026
Breaking,movie,"{Drama, Thriller}",2021,5.8,183
8-Bit Christmas,movie,"{Adventure, Comedy, Family}",2023,7,162622
The Grump: In Search of an Escort,movie,{Horror},2023,4.8,1329
Ama Gloria,movie,{Drama},2022,5.4,528
The Eight Mountains,movie,{Documentary},2021,6.6,2267
The Fabelmans,movie,"{Comedy, Drama, Horror}",2022,7.1,18246
Cocaine Bear,movie,"{Drama, Romance}",2021,6.6,1086
The Day Sports Stood Still,movie,{Documentary},2019,6.8,172
The Munsters,movie,"{Crime, Drama, Thriller}",2020,5,3334
Beyond the Infinite Two Minutes,movie,"{Comedy, Drama}",2021,6.5,10936
Bubble,movie,"{Documentary, Drama}",2021,5.6,1033
Petya of My Petya,movie,"{Drama, Mystery}",2022,5.9,6720
The Exorcist: Believer,movie,{Comedy},2023,5.5,411
Boiling Point,movie,"{Action, Adventure, Fantasy}",2021,7.9,447712
Authentik,movie,"{Horror, Mystery, Sci-Fi}",2021,4.5,2626
LFG,movie,"{Adventure, Family}",2021,5.3,845
Guckkasten Live Concert: HAPPENING,movie,{Drama},2021,7.4,12192
Anatomy of a Czech Afternoon,movie,"{Adventure, Family}",2020,5.3,175
Héroes de barrio,movie,{Drama},2021,7,36230
Our Towns,movie,{Documentary},2021,7.8,1047
The Silent Twins,movie,"{Comedy, Drama, Romance}",2021,7,13311
El cuartito,movie,"{Comedy, Drama, Romance}",2021,6.9,2135
1618,movie,{Drama},2021,6.6,423
#dogpoopgirl,movie,"{Drama, Thriller}",2021,6.5,214
Empire of Light,movie,{Drama},2021,7.3,1611
"Lucy, the Human Chimp",movie,"{Drama, Fantasy, Horror}",2021,4.9,2825
The Girl Flew,movie,{Comedy},2021,5.9,633
Mummies,movie,"{Drama, Horror}",2021,5.5,2241
Just One Time,movie,"{Comedy, Romance}",2021,5.2,142
Tár,movie,"{Action, Adventure, Comedy}",2022,4.1,128
The Magic Flute,movie,"{Crime, Drama, Mystery}",2022,7.2,77380
Memory,movie,"{Comedy, Crime, Mystery}",2023,6.2,8488
Downton Abbey: A New Era,movie,{Documentary},2021,5.6,893
The Beatles and India,movie,"{Documentary, Short}",2021,6.4,1593
The Beast in the Jungle,movie,"{Crime, Drama, Mystery}",2022,6.3,40033
Along Came Love,movie,{Comedy},2021,5.3,1355
7 Days,movie,{Documentary},2022,7.3,137
Catch the Fair One,movie,"{Comedy, Drama, Sport}",2023,6,807
The Novice,movie,"{Crime, Drama, Thriller}",2022,6.3,8926
Second Round,movie,"{Comedy, Family}",2021,6.7,21919
She Is Love,movie,"{Comedy, Drama}",2022,6.2,737
Bull,movie,{Drama},2023,7,666
The Legend of the Underground,movie,{Drama},2022,7.7,16626
A Choice of Weapons: Inspired by Gordon Parks,movie,{Drama},2022,7.5,122577
Do Not Hesitate,movie,"{Comedy, Crime, Thriller}",2023,5.9,113781
Tantrum,movie,"{Documentary, Sport}",2021,5.9,539
Out of Darkness,movie,"{Comedy, Family, Fantasy}",2022,4.5,12096
Kurz manzelské touhy,movie,"{Comedy, Sci-Fi}",2020,7.3,8848
Easter Sunday,movie,"{Comedy, Drama}",2022,6.8,381
What Killed Maradona?,movie,{Drama},2021,7.3,944
"Por los pelos, una historia de autoestima",movie,{Horror},2023,4.8,44796
I Am Alfred Hitchcock,movie,"{Drama, Thriller}",2021,7.5,45174
Help,movie,"{Biography, Drama, Music}",2021,6.4,696
The Hotel,movie,"{Documentary, Sport}",2021,5.6,967
Ben Gen 10,movie,{},2021,,
#FBF,movie,"{Drama, Short}",2020,6.1,52
Gods Creatures,movie,{Comedy},2022,5.1,172
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,movie,{Documentary},2021,6.4,409
Aqua Teen Forever: Plantasm,movie,"{Biography, Drama}",2022,5.8,2493
Night Shift,movie,"{Comedy, Drama}",2021,5.7,141
Somewhere in Queens,movie,"{Drama, History}",2021,5.8,301
Little Berlin,movie,"{Comedy, Drama}",2021,6.8,549
The Miracle Club,movie,"{Drama, Romance}",2022,6.7,25337
The Invitation,movie,{Documentary},2021,7.3,443
Ride the Eagle,movie,{Drama},2021,5.9,184
Moje slunce Mad,movie,"{Adventure, Animation, Comedy}",2023,5.9,9578
Sublime,movie,{Drama},2021,5.7,283
Between Us,movie,"{Drama, Music}",2022,7.4,98213
Occupation,movie,"{Adventure, Fantasy, Musical}",2022,5.6,1522
The Eternal Moment,movie,"{Action, Crime, Thriller}",2022,5.7,37663
Americanish,movie,"{Drama, Romance}",2022,7.4,33110
The Slow Hustle,movie,"{Documentary, Music}",2021,6.5,539
Teen Titans Go! See Space Jam,movie,"{Drama, Music}",2023,5.5,495
Love Tasting,movie,"{Drama, Romance}",2023,6.6,651
"Ben 10,010",movie,"{Comedy, Drama}",2021,6.5,1439
Suro,movie,"{Crime, Thriller}",2021,6.3,2557
The Girl with the Golden Hands,movie,"{Drama, Sport}",2021,6.5,7264
Confessions of Felix Krull,movie,"{Drama, Short}",2020,7.2,178
