title,type,genres,releaseyear,averagerating,votes
Shrek 2,movie,"{Adventure, Animation, Comedy}",2004,7.4,517376
Shrek the Third,movie,"{Adventure, Animation, Comedy}",2007,6.1,339552
Austin Powers: The Spy Who Shagged Me,movie,"{Action, Adventure, Comedy}",1999,6.7,253006
Austin Powers in Goldmember,movie,"{Action, Adventure, Comedy}",2002,6.2,226262
Diabolique,movie,"{Crime, Drama, Horror}",1955,8.1,70555
Umberto D.,movie,{Drama},1952,8.2,28872
Duel,movie,"{Action, Thriller}",1971,7.6,80637
Close Encounters of the Third Kind,movie,"{Drama, Sci-Fi}",1977,7.6,221626
In the Mood for Love,movie,"{Drama, Romance}",2000,8.1,171487
The Mask,movie,"{Action, Comedy, Crime}",1994,7,433975
Black Hawk Down,movie,"{Action, Drama, History}",2001,7.7,431465
Sleepless in Seattle,movie,"{Comedy, Drama, Romance}",1993,6.8,194370
Dangerous Liaisons,movie,"{Drama, Romance}",1988,7.5,76395
Singin in the Rain,movie,"{Comedy, Musical, Romance}",1952,8.3,266242
The Color Purple,movie,{Drama},1985,7.7,99147
A Few Good Men,movie,"{Drama, Thriller}",1992,7.7,294993
All the Presidents Men,movie,"{Drama, History, Thriller}",1976,7.9,128798
Cool Hand Luke,movie,"{Crime, Drama}",1967,8,191720
The Thomas Crown Affair,movie,"{Crime, Drama, Romance}",1968,6.9,28969
Bullitt,movie,"{Crime, Romance, Thriller}",1999,6.8,102383
Dawn of the Dead,movie,"{Action, Crime, Thriller}",1968,7.4,77396
Gremlins,movie,"{Action, Horror}",2004,7.2,277711
Gremlins 2: The New Batch,movie,"{Comedy, Fantasy, Horror}",1984,7.3,254277
Godzilla,movie,"{Comedy, Fantasy, Horror}",1990,6.4,115027
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"{Action, Sci-Fi, Thriller}",1998,5.4,206572
Lethal Weapon,movie,"{Comedy, War}",1964,8.3,528051
Lethal Weapon 2,movie,"{Action, Crime, Thriller}",1987,7.6,281669
Lethal Weapon 3,movie,"{Action, Crime, Thriller}",1989,7.3,192452
Lethal Weapon 4,movie,"{Action, Crime, Thriller}",1992,6.7,181445
Madagascar,movie,"{Action, Crime, Thriller}",1998,6.6,174592
Mission: Impossible,movie,"{Adventure, Animation, Comedy}",2005,6.9,447566
Mission: Impossible II,movie,"{Action, Adventure, Thriller}",1996,7.2,479182
Mission: Impossible III,movie,"{Action, Adventure, Thriller}",2000,6.1,384333
Spartacus,movie,"{Action, Adventure, Thriller}",2006,6.9,397002
Dog Day Afternoon,movie,"{Adventure, Biography, Drama}",1960,7.9,145659
Seven Years in Tibet,movie,"{Biography, Crime, Drama}",1975,8,277777
Dirty Harry,movie,"{Adventure, Biography, Drama}",1997,7.1,158949
Mulholland Drive,movie,"{Action, Crime, Thriller}",1971,7.7,171816
Sommersby,movie,"{Drama, Mystery, Thriller}",2001,7.9,392045
The Prestige,movie,"{Drama, Mystery, Romance}",1993,6.3,23613
The Remains of the Day,movie,"{Drama, Mystery, Sci-Fi}",2006,8.5,1475591
Letters from Iwo Jima,movie,"{Drama, Romance}",1993,7.8,86824
Street Kings,movie,"{Action, Adventure, Drama}",2006,7.8,171916
300,movie,"{Action, Crime, Thriller}",2008,6.8,122569
